29-Apr-23 22:23:18, SEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:18, PEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2163490834'
29-Apr-23 22:23:18, SEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:18, PEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-170546010'
29-Apr-23 22:23:18, SEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:18, PEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2326904652'
29-Apr-23 22:23:18, SEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:18, PEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-361901628'
29-Apr-23 22:23:18, SEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:18, PEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-1393408667'
29-Apr-23 22:23:18, SEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:19, PEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-361901733'
29-Apr-23 22:23:19, SEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:22, PEbox_0012, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2326904742'
29-Apr-23 22:23:22, PEbox_0011, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-170546055'
29-Apr-23 22:23:25, SEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:28, PEbox_0010, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-2163490924'
29-Apr-23 22:23:28, SEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:31, SEbox_0013, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0'
29-Apr-23 22:23:31, PEbox_0014, 0, b'0-0,1-0,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-1393408757'
